,"Location of Terminal Market",,"All Red Tomato count  apples are tray packed. ","Type of Apple (not all varieties are grown in all origins)",,"USDA specifications for size, coloring, allowable imperfections, etc",,"Pricing in $",,,,"Where the product was grown ",,"Count size-how many apples fit into a case, so the higher the number, the smaller the apple",,,,,,,,,,,,,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/24,33,34,33,33,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/25,38,38,,,WASHINGTON,,56s,,,,,,FINEAPPEAR,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/25,38,38,,,WASHINGTON,,64s,,,,,,FINEAPPEAR,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/25,38,42,38,39,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/25,34,34,,,WASHINGTON,,80s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/25,37,38,,,WASHINGTON,,80s,,,,,,FINEAPPEAR,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/25,32,32,,,WASHINGTON,,88s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/25,36,37,,,WASHINGTON,,88s,,,,,,FINEAPPEAR,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/25,29,32,30,30,WASHINGTON,,100s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/25,34,38,35,36,WASHINGTON,,100s,,,,,,FINEAPPEAR,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/25,36,36,,,WASHINGTON,,113s,,,,,,FINEAPPEAR,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/25,32,34,33,33,WASHINGTON,,125s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/26,38,38,,,WASHINGTON,,56s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/26,38,38,,,WASHINGTON,,64s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/26,38,42,38,39,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/26,34,34,,,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/26,37,38,,,WASHINGTON,,80s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/26,32,32,,,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/26,36,37,,,WASHINGTON,,88s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/26,34,38,35,36,WASHINGTON,,100s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/26,29,32,30,30,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/26,36,36,,,WASHINGTON,,113s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/26,32,34,33,33,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/27,38,38,,,WASHINGTON,,56s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/27,38,38,,,WASHINGTON,,64s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/27,38,42,38,39,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/27,37,38,,,WASHINGTON,,80s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/27,34,34,,,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/27,32,32,,,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/27,36,37,,,WASHINGTON,,88s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/27,29,32,30,30,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/27,34,38,35,36,WASHINGTON,,100s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/27,36,36,,,WASHINGTON,,113s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/27,32,34,33,33,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/28,38,38,,,WASHINGTON,,56s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/28,38,38,,,WASHINGTON,,64s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/28,38,42,38,39,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/28,34,34,,,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/28,37,38,,,WASHINGTON,,80s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/28,36,37,,,WASHINGTON,,88s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/28,32,32,,,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/28,34,38,35,36,WASHINGTON,,100s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/28,29,32,30,30,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/28,36,36,,,WASHINGTON,,113s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,WAExFcy,2018/09/28,32,34,33,33,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,"U.S. ExFcy",2018/09/20,40,40,,,PENNSYLVANIA,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,"U.S. ExFcy",2018/09/20,40,40,,,PENNSYLVANIA,,110s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,"U.S. ExFcy",2018/09/21,40,40,,,PENNSYLVANIA,,100s,,,,,,,,,N,,,"ME USONE MCINTOSH, NH LOOSE HONEYCRISP, MACOUN, AND NY CRAB APPLES LOWER; OTHERS ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",FUJI,,"U.S. ExFcy",2018/09/21,40,40,,,PENNSYLVANIA,,110s,,,,,,,,,N,,,"ME USONE MCINTOSH, NH LOOSE HONEYCRISP, MACOUN, AND NY CRAB APPLES LOWER; OTHERS ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",FUJI,,"U.S. ExFcy",2018/09/24,40,40,,,PENNSYLVANIA,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,"U.S. ExFcy",2018/09/24,40,40,,,PENNSYLVANIA,,110s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,"U.S. ExFcy",2018/09/25,36,36,,,PENNSYLVANIA,,80s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",FUJI,,"U.S. ExFcy",2018/09/25,36,36,,,PENNSYLVANIA,,88s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",FUJI,,"U.S. ExFcy",2018/09/26,36,36,,,PENNSYLVANIA,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,"U.S. ExFcy",2018/09/26,36,36,,,PENNSYLVANIA,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,"U.S. ExFcy",2018/09/27,36,36,,,PENNSYLVANIA,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,"U.S. ExFcy",2018/09/27,36,36,,,PENNSYLVANIA,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,"U.S. ExFcy",2018/09/28,36,36,,,PENNSYLVANIA,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",FUJI,,"U.S. ExFcy",2018/09/28,36,36,,,PENNSYLVANIA,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,Organic,"18 kg cartons tray pack",FUJI,,,2018/09/04,62,62,,,ARGENTINA,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,Organic,"cartons tray pack","GRANNY SMITH",,,2018/09/11,54,54,,,CALIFORNIA,,80s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,Organic,"cartons tray pack","GRANNY SMITH",,,2018/09/12,54,54,,,CALIFORNIA,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,Organic,"cartons tray pack","GRANNY SMITH",,,2018/09/13,54,54,,,CALIFORNIA,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,Organic,"cartons tray pack","GRANNY SMITH",,,2018/09/14,54,54,,,CALIFORNIA,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,Organic,"cartons tray pack","GRANNY SMITH",,,2018/09/17,54,54,,,CALIFORNIA,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/04,36,40,37,38,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/04,34,36,35,35,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/04,32,36,34,35,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/04,30,34,32,32,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/04,28,30,29,29,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/04,28,28,,,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/05,36,40,37,38,WASHINGTON,,72s,,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.","occas lower","HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/05,34,36,35,35,WASHINGTON,,80s,,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.",,"HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/05,32,36,34,35,WASHINGTON,,88s,,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.","occas lower","HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/05,30,34,32,32,WASHINGTON,,100s,,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.",,"HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/05,28,30,29,29,WASHINGTON,,113s,,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.",,"HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/05,27,28,27,27,WASHINGTON,,125s,,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.",,"HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/06,36,40,37,38,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,"occas lower",
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/06,34,36,35,35,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/06,32,36,34,35,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,"occas lower",
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/06,30,34,32,32,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/06,28,30,29,29,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/06,27,28,27,27,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/07,36,40,37,38,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,"occas lower",
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/07,34,36,35,35,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/07,32,36,34,35,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,"occas lower",
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/07,30,34,32,32,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/07,28,30,29,29,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/07,27,28,27,27,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/10,36,40,37,38,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,"occas lower",
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/10,34,36,35,35,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/10,32,36,34,35,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,"occas lower",
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/10,30,34,32,32,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/10,28,30,29,29,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/10,27,28,27,27,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/11,36,40,37,38,WASHINGTON,,72s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.","occas lower","OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/11,34,36,35,35,WASHINGTON,,80s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/11,32,36,34,35,WASHINGTON,,88s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.","occas lower","OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/11,30,34,32,32,WASHINGTON,,100s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/11,28,30,29,29,WASHINGTON,,113s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/11,,,,,WASHINGTON,,125s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.","no offerings","OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/12,36,40,37,38,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,"occas lower",
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/12,34,36,35,35,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/12,32,36,34,35,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,"occas lower",
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/12,30,34,32,32,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/12,28,30,29,29,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/12,,,,,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,"no offerings",
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/13,36,40,37,38,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,"occas lower",
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/13,34,36,35,35,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/13,32,36,34,35,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,"occas lower",
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/13,30,34,32,32,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/13,28,30,29,29,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/13,,,,,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,"no offerings",
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/14,36,40,37,38,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,"occas lower",
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/14,34,36,35,35,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/14,32,36,34,35,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,"occas lower",
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/14,30,34,32,32,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/14,28,30,29,29,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/14,,,,,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,"no offerings",
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/17,36,40,37,38,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,"occas lower",
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/17,34,36,35,35,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/17,32,36,34,35,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,"occas lower",
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/17,30,34,32,32,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/17,28,30,29,29,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/17,,,,,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,"no offerings",
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/18,40,40,,,WASHINGTON,,72s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/18,34,38,36,37,WASHINGTON,,80s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/18,31,34,32,33,WASHINGTON,,88s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/18,32,36,34,35,WASHINGTON,,100s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/18,28,32,30,31,WASHINGTON,,113s,,,,,,,,,N,,,"ABOUT STEADY.","occas as high as 34.00",
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/18,27,27,,,WASHINGTON,,125s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/19,40,40,,,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/19,34,38,36,37,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/19,31,34,32,33,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/19,32,36,34,35,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/19,28,32,30,31,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,"occas as high as 34.00",
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/19,27,27,,,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/20,40,40,,,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/20,34,38,36,37,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/20,31,34,32,33,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/20,32,36,34,35,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/20,28,32,30,31,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,"occas as high as 34.00",
APPLES,BOSTON,,"cartons tray pack","GRANNY SMITH",,WAExFcy,2018/09/20,27,27,,,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,,
