SITE_NAME,SITE_TYPE,SITE_ADDRESS_1,SITE_ADDRESS_2,SITE_CITY,SITE_STATE,SITE_ZIP,SITE_PHONE,SITE_PHONE_EXT,CONTACT_FIRST_NAME,CONTACT_LAST_NAME,CONTACT_PHONE,SPONSORING_ORGANIZATION,START_DATE,END_DATE,DAYS_OF_OPERATION,HOURS_OPEN,BREAKFAST_TIME,LUNCH_TIME,SNACK_TIME,SUPPER_TIME,MEAL_TYPES_SERVED
"GUILMETTE EDUCATIONAL COMPLEX (SF-90-069)",Open,"50 Bodwell Street"," ",Lawrence,MA,1841,978-686-8150," ",Nicaury,Guillermo,978-975-2762,"Lawrence Public Schools (05-149-SF-90)",2018/06/25,2018/08/10,"M,T,W,TH,F","07:30 AM - 01:30 PM",07:30:00,11:30:00," "," ","B,L"
"RIVERFRONT STATE PARK (SF-90-072)",Closed,"Rowe and Everett Streets"," ",Lawrence,MA,1843,978-620-3252," ",Manuel,Paulino,978-620-3252,"Lawrence Public Schools (05-149-SF-90)",2018/07/02,2018/08/10,"M,T,W,TH","02:00 PM - 02:15 PM"," "," ",14:00:00," ",A
"NORTHEAST INDEPENDENT LIVING PROGRAM (SF-90-074)",Open,"20 Ballard Road"," ",Lawrence,MA,1843,978-687-4288," ",Steven,Michelson,978-689-4488,"Lawrence Public Schools (05-149-SF-90)",2018/07/09,2018/08/11,"M,T,W,TH,F","09:00 AM - 12:30 PM",09:00:00,12:00:00," "," ","B,L"
"RISING LOAVES @ LAW. HISTORY CENTER (SF-90-077)",Open,"6 Essex Street"," ",Lawrence,MA,1840,978-686-9230," ",Mary,Guerrero," ","Lawrence Public Schools (05-149-SF-90)",2018/07/09,2018/07/27,"M,T,W,TH,F","11:30 AM - 12:00 PM"," ",11:30:00," "," ",L
"BEYOND SOCCER (SF-90-078)",Open,"141 OSGOOD STREET"," ",LAWRENCE,MA,1843,978-681-5050," ",Lindsey,McCardle," ","Lawrence Public Schools (05-149-SF-90)",2018/07/09,2018/07/19,"M,T,W,TH","10:30 AM - 12:30 PM"," ",12:00:00,10:30:00," ","L,M"
"LEONARD SCHOOL/UP ACADEMY (SF-90-082)",Open,"60 Allen Street"," ",Lawrence,MA,1841,978-722-8159," ",Melissa,Kiwanuka,978-722-8159,"Lawrence Public Schools (05-149-SF-90)",2018/07/02,2018/07/26,"M,T,W,TH,F","07:30 AM - 11:30 AM",07:30:00,11:15:00," "," ","B,L"
"FROST EDUCATION COMPLEX (SF-90-084)",Open,"35 Hamlet Street"," ",lawrence,MA,1843,978-975-5941," ",Natalie,Dominguez,978-975-5941,"Lawrence Public Schools (05-149-SF-90)",2018/06/25,2018/08/10,"M,T,W,TH,F","07:30 AM - 01:30 PM",07:30:00,11:30:00," "," ","B,L"
"LEAHY SCHOOL (SF-90-085)",Open,"100 Erving Street"," ",Lawrence,MA,1841,978-975-5959," ",Jomaris,Pena,978-975-5959,"Lawrence Public Schools (05-149-SF-90)",2018/06/25,2018/08/10,"M,T,W,TH,F","07:30 AM - 01:30 PM",07:30:00,11:30:00," "," ","B,L"
"SOUTH LAWRENCE EAST COMPLEX (SF-90-086)",Open,"165 Crawford Street"," ",Lawrence,MA,1843,978-975-5970," ",Yanira,Rivera,978-975-5970,"Lawrence Public Schools (05-149-SF-90)",2018/06/25,2018/08/10,"M,T,W,TH,F","07:30 AM - 01:30 PM",07:30:00,11:30:00," "," ","B,L"
"TARBOX SCHOOL (SF-90-087)",Open,"59 Alder Street"," ",lawrence,MA,1841,978-975-5983," ",Briggid,Reyes,978-975-5983,"Lawrence Public Schools (05-149-SF-90)",2018/06/25,2018/08/10,"M,T,W,TH,F","07:30 AM - 01:30 PM",07:30:00,11:30:00," "," ","B,L"
"MANOS FELICES (SF-90-089)",Open,"179 Crawford Street"," ",lawrence,MA,1843,978-962-9969," ",Jennie,Davila,978-962-9969,"Lawrence Public Schools (05-149-SF-90)",2018/07/02,2018/08/10,"M,T,W,TH,F","12:00 PM - 02:15 PM"," ",12:00:00,14:00:00," ","L,A"
"YWCA @ ARL (SF-90-090)",Closed,"530 Broadway"," ",Lawrence,MA,1841,978-332-9061," ",Kathy,Ruiz,978-332-9061,"Lawrence Public Schools (05-149-SF-90)",2018/07/02,2018/08/10,"M,T,W,TH,F","11:30 AM - 12:30 PM"," ",11:30:00," "," ",L
"SCHOOL AGE/MIDDLE SCHOOL (SF-189-001)",Closed,"50 High Street"," ",LYNN,MA,1902,781-592-9744,224,MARIA,MANZUETA,781-592-9744,"Girls Incorporated of Lynn (05-163-SF-189)",2018/06/27,2018/08/31,"M,T,W,TH,F","08:30 AM - 04:30 PM",08:30:00," ",15:00:00," ","B,A"
"TEEN PROGRAM (SF-189-002)",Closed,"50 High Street"," ",Lynn,MA,1902,781-592-9744,213,Lena,Crowley,781-592-9744,"Girls Incorporated of Lynn (05-163-SF-189)",2018/07/10,2018/08/17,"T,W","10:00 AM - 06:00 PM",10:00:00," "," ",17:00:00,"B,S"
"MIDDLE SCHOOL PROGRAM (SF-189-003)",Closed,"50 High Street"," ",Lynn,MA,1902,781-592-9744,213,Lena,Crowley,781-592-9744,"Girls Incorporated of Lynn (05-163-SF-189)",2018/07/06,2018/08/18,"M,T,W,TH,F","08:00 AM - 04:30 PM",08:00:00," ",15:00:00," ","B,A"
"CLARK PLAYGROUND (SF-97-006)",Closed,"PACIFIC ST."," ",LYNN,MA,1902,781-477-7096," ",LISA,NERICH,781-477-7096,"Lynn Public Schools (05-163-SF-97)",2018/07/09,2018/08/10,"M,T,W,TH,F","11:00 AM - 12:00 PM"," ",11:00:00," "," ",L
"KILEY PARK (SF-97-013)",Closed,"SANDERSON AVE."," ",LYNN,MA,1905,781-477-7096," ",LISA,NERICH," ","Lynn Public Schools (05-163-SF-97)",2018/07/05,2018/08/03,"M,T,W,TH,F","11:00 AM - 12:00 PM"," ",11:00:00," "," ",L
"GALLAGHER PLAYGROUND (SF-97-014)",Closed,"GALLAGHER ST."," ",LYNN,MA,1902,781-477-7096," ",LISA,NERICH," ","Lynn Public Schools (05-163-SF-97)",2018/07/09,2018/08/10,"M,T,W,TH,F","11:00 AM - 12:00 PM"," ",11:00:00," "," ",L
"CAMP KIWANIS-LYNN SPECIAL NEED (SF-97-015)",Closed,"106R PENNYBROOK ROAD"," ",LYNN,MA,1905,781-477-7096," ",LISA,NERICH," ","Lynn Public Schools (05-163-SF-97)",2018/07/09,2018/08/10,"M,T,W,TH,F","09:00 AM - 09:30 AM",09:00:00," "," "," ",B
"LYNN YMCA (SF-97-016)",Closed,"20 NEPTUNE BLVD."," ",LYNN,MA,1902,781-581-3105," ",Tanya,Buck,781-581-3105,"Lynn Public Schools (05-163-SF-97)",2018/07/02,2018/08/31,"M,T,W,TH,F","08:00 AM - 01:00 PM",08:00:00,12:00:00," "," ","B,L"
"SALVATION ARMY (SF-97-019)",Closed,"1 FRANKLIN ST."," ",LYNN,MA,1902,781-598-0673," ",Lisa,Leppek," ","Lynn Public Schools (05-163-SF-97)",2018/07/02,2018/08/31,"M,T,W,TH,F","08:00 AM - 01:00 PM",08:00:00,12:00:00," "," ","B,L"
"GOWDY PARK (SF-97-020)",Closed,"CEDARBROOK ROAD"," ",LYNN,MA,1905,781-477-7096," ",LISA,NERICH," ","Lynn Public Schools (05-163-SF-97)",2018/07/09,2018/08/10,"M,T,W,TH,F","11:00 AM - 12:00 PM"," ",11:00:00," "," ",L
"GREGG HOUSE (SF-97-025)",Open,"106 BROAD ST."," ",LYNN,MA,1902,781-592-0522," ",KELLEY,OCONNOR," ","Lynn Public Schools (05-163-SF-97)",2018/07/02,2018/08/31,"M,T,W,TH,F","07:30 AM - 12:30 PM",07:30:00,11:30:00," "," ","B,L"
"KEANEY PARK (MEMORIAL) (SF-97-029)",Closed,"TRACY ST. (behind English HS)","Corner of Tracy St and Adams St Ext.",LYNN,MA,1902,781-477-7096," ",LISA,NERICH," ","Lynn Public Schools (05-163-SF-97)",2018/07/09,2018/08/10,"M,T,W,TH,F","11:00 AM - 12:00 PM"," ",11:00:00," "," ",L
"ST. STEPHENS CHURCH (SF-97-031)",Closed,"74 S. COMMON ST."," ",LYNN,MA,1901,781-477-7439," ",Audrey,Gutfreund," ","Lynn Public Schools (05-163-SF-97)",2018/07/09,2018/08/02,"M,T,W,TH,F","08:00 AM - 12:15 PM",08:00:00,11:45:00," "," ","B,L"
"CAMPFIRE GIRLS/BOYS (SF-97-032)",Open,"2 CAIN RD"," ",SALEM,MA,1902,978-745-7200," ",IRENE,SARANTEAS,978-745-7200,"Lynn Public Schools (05-163-SF-97)",2018/07/02,2018/08/24,"M,T,W,TH,F","07:30 AM - 12:30 PM",07:30:00,11:00:00," "," ","B,L"
"SHOEMAKER ELEMENTARY (SF-97-041)",Open,"26 REGINA ROAD"," ",LYNN,MA,1904,781-477-7450," ",Patricia,Riley," ","Lynn Public Schools (05-163-SF-97)",2018/07/03,2018/08/13,"M,T,W,TH","08:30 AM - 12:30 PM",08:30:00,11:30:00," "," ","B,L"
"BOYS & GIRLS CLUB OF LYNN (SF-97-042)",Closed,"25 N. COMMON ST."," ",LYNN,MA,1902,781-593-1772," ",Paul,Barker,781-593-1772,"Lynn Public Schools (05-163-SF-97)",2018/07/02,2018/08/24,"M,T,W,TH,F","11:00 AM - 11:45 PM"," ",11:00:00," "," ",L
"BARRY PARK (SF-97-056)",Closed,"1 Boston Street"," ",Lynn,MA,1905,781-477-7096," ",Lisa,Nerich,781-477-7096,"Lynn Public Schools (05-163-SF-97)",2018/07/05,2018/08/03,"M,T,W,TH,F","11:00 AM - 12:00 PM"," ",11:00:00," "," ",L
"COLLEGE APPLICATION PROGRAM (SF-97-060)",Open,"4 Adams St Ext"," ",Lynn,MA,1902,781-820-0289," ",Arthur,Akers,781-820-0289,"Lynn Public Schools (05-163-SF-97)",2018/07/09,2018/08/23,"M,T,W,TH","08:30 AM - 12:30 PM",08:30:00,11:30:00," "," ","B,L"
"LVTI ANNEX/ ECC (SF-97-071)",Open,"90 COMMERCIAL ST."," ",LYNN,MA,1905,781-477-7220," ",DAN,DILL,781-477-7220,"Lynn Public Schools (05-163-SF-97)",2018/07/09,2018/08/09,"M,T,W,TH","12:00 AM - 01:00 PM",08:00:00,00:00:00," "," ","B,L"
"CLASSICAL HIGH SCHOOL (SF-97-074)",Open,"235 O'CALLAGHAN WAY"," ",LYNN,MA,1905,781-477-7404," ",Mark,Johnson,781-477-7404,"Lynn Public Schools (05-163-SF-97)",2018/07/09,2018/08/23,"M,T,W,TH,F","08:00 AM - 12:30 PM",08:00:00,11:30:00," "," ","B,L"
"ENGLISH HIGH SCHOOL (SF-97-079)",Open,"50 Goodridge Street"," ",Lynn,MA,1902,781-477-7366," ",Tom,Strangie,781-477-7366,"Lynn Public Schools (05-163-SF-97)",2018/07/09,2018/08/02,"M,T,W,TH","07:45 AM - 12:30 PM",07:45:00,11:30:00," "," ","B,L"
"LYNN WOODS PARK (SF-97-086)",Closed,"1 Great Woods Rd."," ",Lynn,MA,1904,781-477-7096," ",Lisa,Nerich,781-477-7096,"Lynn Public Schools (05-163-SF-97)",2018/07/09,2018/08/10,"M,T,W,TH,F","11:00 AM - 12:00 PM"," ",11:00:00," "," ",L
"FLAX POND PARK (SF-97-087)",Closed,"1 Chestnut St."," ",Lynn,MA,1905,781-477-7096," ",Lisa,Nerich,781-477-7096,"Lynn Public Schools (05-163-SF-97)",2018/07/09,2018/08/10,"M,T,W,TH,F","11:00 AM - 12:00 PM"," ",11:00:00," "," ",L
"KINGS LYNNE (SF-97-104)",Open,"30 Kingswood Circle"," ",Lynn,MA,1905,781-581-7106," ",Susan,Vacchio,781-581-7106,"Lynn Public Schools (05-163-SF-97)",2018/07/02,2018/08/31,"M,W,TH,F","11:00 AM - 12:00 PM"," ",11:00:00," "," ",L
"MARSHALL MIDDLE SCHOOL (SF-97-111)",Open,"100 Brookline St"," ",Lynn,MA,1902,781-477-7360," ",Molley,Cohen,781-477-7360,"Lynn Public Schools (05-163-SF-97)",2018/07/10,2018/08/16,"T,W,TH","09:00 AM - 12:00 PM",09:00:00,11:00:00," "," ","B,L"
"LYNN VOC TECH (SF-97-112)",Open,"80 Neptune Blvd."," ",Lynn,MA,1905,781-477-7455," ",Dan,Dill,781-477-7455,"Lynn Public Schools (05-163-SF-97)",2018/07/09,2018/08/09,"M,T,W,TH","12:00 AM - 01:00 PM",08:00:00,00:00:00," "," ","B,L"
"BREED MIDDLE SCHOOL (SF-97-113)",Open,"90 O'Callaghan Way"," ",Lynn,MA,1905,781-477-7330," ",Julie,Louf,781-477-7330,"Lynn Public Schools (05-163-SF-97)",2018/07/10,2018/08/16,"T,W,TH","08:30 AM - 12:30 PM",08:30:00,11:30:00," "," ","B,L"
"FORD SCHOOL (SF-97-115)",Open,"49 Hollingsworth st."," ",Lynn,MA,1902,781-477-7375," ",Joanne,LaRiva," ","Lynn Public Schools (05-163-SF-97)",2018/07/02,2018/08/31,"M,T,W,TH,F","12:00 PM - 01:00 PM"," ",12:00:00," "," ",L
"DREWICZ SCHOOL (SF-97-120)",Open,"34 Hood Street"," ",lynn,MA,1905,781-472-7220," ",Patricia,Hebert,781-472-7220,"Lynn Public Schools (05-163-SF-97)",2018/07/02,2018/08/31,"M,T,W,TH,F","12:00 PM - 01:00 PM"," ",12:00:00," "," ",L
"INGALLS SCHOOL (SF-97-122)",Open,"1 Collins Street Terrace"," ",Lynn,MA,1902,781-477-7220," ",Irene,Cowdell,781-477-7220,"Lynn Public Schools (05-163-SF-97)",2018/07/02,2018/08/31,"M,T,W,TH,F","12:00 PM - 01:00 PM"," ",12:00:00," "," ",L
"MARIAN GARDENS PLAYGROUND (SF-97-123)",Closed,"1 Anderson Way"," ",Lynn,MA,1905,781-477-7096," ",Gabbi,Galeazzi,781-477-7096,"Lynn Public Schools (05-163-SF-97)",2018/07/09,2018/08/10,"M,T,W,TH,F","11:00 AM - 12:00 PM"," ",11:00:00," "," ",L
"TRACY SCHOOL (SF-97-124)",Open,"35 Walnut Sttreet"," ",Lynn,MA,1906,781-477-7220," ",Patty,Griffin,781-477-7220,"Lynn Public Schools (05-163-SF-97)",2018/07/02,2018/08/31,"M,T,W,TH,F","12:00 PM - 01:00 PM"," ",12:00:00," "," ",L
"MAGNOLIA AVE. PLAYGROUND (SF-97-126)",Closed,"1 Magnolia Ave."," ",Lynn,MA,1904,781-477-7096," ",Lisa,Narich,781-477-7096,"Lynn Public Schools (05-163-SF-97)",2018/07/09,2018/08/10,"M,T,W,TH,F","11:00 AM - 12:00 PM"," ",11:00:00," "," ",L
"SPED EXT. PROGRAM (BROWN SCHOOL) (SF-97-127)",Closed,"150 Lynn Street"," ",peabody,MA,1960,978-979-3584," ",Kate,O'Brien,978-979-3584,"Lynn Public Schools (05-163-SF-97)",2018/07/09,2018/08/16,"M,T,W,TH","08:30 AM - 12:00 PM",08:30:00,10:30:00," "," ","B,L"
"PASSOS AVANTE (SOUTH SCHOOL) (SF-97-128)",Closed,"16 Maple Street Extension"," ",Peabody,MA,1960,978-536-5760," ",Joanne,Pantapas,978-536-5760,"Lynn Public Schools (05-163-SF-97)",2018/07/16,2018/08/24,"M,T,W,TH,F","12:30 AM - 01:00 PM",08:00:00,00:30:00," "," ","B,L"
"TREEHOUSE MUSIC ED. PROJECT (SF-97-129)",Closed,"25 Exchange street"," ",Lynn,MA,1905,857-615-1335," ",Barbara,Davis,857-615-1335,"Lynn Public Schools (05-163-SF-97)",2018/07/02,2018/08/31,"M,T,W,TH,F","11:30 AM - 12:30 PM"," ",11:30:00," "," ",L
"WASHINGTON ST. BAPTIST CHURCH (KIDS CLUB (SF-97-130)",Closed,"256 Washington Street"," ",Lynn,MA,1902,650-387-3142," ",Meg,Johnson,650-387-3142,"Lynn Public Schools (05-163-SF-97)",2018/07/02,2018/08/02,"M,T,W,TH","01:20 PM - 01:40 PM"," ",13:20:00," "," ",L
"BUILDING BRIDGES (SF-97-132)",Open,"4 Adams Street Extension"," ",Lynn,MA,1905,781-479-8327," ",Doreen,Murray,781-479-8327,"Lynn Public Schools (05-163-SF-97)",2018/07/09,2018/08/23,"M,T,W,TH,F","08:30 AM - 01:00 PM",08:30:00,12:30:00," "," ","B,L"
"NORTH SHORE COMMUNITY COLLEGE (SF-97-133)",Closed,"300 Broad Street"," ",LYNN,MA,1905,781-477-2103," ",Jill,Thorton,781-477-2103,"Lynn Public Schools (05-163-SF-97)",2018/07/02,2018/08/18,"M,T,W,TH,F","08:00 AM - 01:15 PM",08:00:00,12:00:00," "," ","B,L"
"HOOD PARK (SF-97-134)",Closed,"168 Holyoke Street"," ",Lynn,MA,1905,781-477-7220," ",Lisa,Nerich,781-477-7220,"Lynn Public Schools (05-163-SF-97)",2018/07/09,2018/08/10,"M,T,W,TH,F","11:00 AM - 12:00 PM"," ",11:00:00," "," ",L
"CALLAHAN SCHOOL (SF-97-135)",Open,"200 O'Callaghan Way"," ",Lynn,MA,1905,781-477-7220," ",James,Kennison,781-477-7220,"Lynn Public Schools (05-163-SF-97)",2018/07/09,2018/08/09,"M,T,W,TH","08:00 AM - 01:00 PM",08:00:00,12:00:00," "," ","B,L"
"TENNEY STREET PLAYGROUND (SF-47-001)",Open,"101-151 TENNEY STREET"," ",METHUEN,MA,1844,978-691-5645," ",Danielle,Collins,978-722-6010,"Methuen Public Schools (05-181-SF-47)",2018/07/05,2018/08/18,"M,T,W,TH,F","08:30 AM - 12:30 PM",08:30:00,11:30:00," "," ","B,L"
"TENNEY GRAMMAR SCHOOL (SF-47-003)",Closed,"75 PLEASANT STREET"," ",METHUEN,MA,1844,978-722-9026,4432,ROSE,DALY,978-722-9026,"Methuen Public Schools (05-181-SF-47)",2018/07/02,2018/08/09,"M,T,W,TH","08:00 AM - 12:30 PM",08:00:00,11:30:00," "," ","B,L"
"COMPREHENSIVE GRAMMAR SCHOOL (SF-47-007)",Closed,"100 Howe Street"," ",Methuen,MA,1844,978-722-6010," ",Danielle,Collins,978-722-6010,"Methuen Public Schools (05-181-SF-47)",2018/07/09,2018/08/02,"M,T,W,TH","08:00 AM - 12:15 PM",08:00:00,11:45:00," "," ","B,L"
"METHUEN HIGH SCHOOL (SF-47-008)",Closed,"1 Ranger Road"," ",Methuen,MA,1844,978-722-6062," ",Danielle,Collins,978-722-6062,"Methuen Public Schools (05-181-SF-47)",2018/07/09,2018/08/02,"M,T,W,TH","08:00 AM - 12:30 PM",08:00:00,12:00:00," "," ","B,L"
"HIGGINS MIDDLE SCHOOL (SF-286-001)",Closed,"85 Perkins Street"," ",Peabody,MA,1960,617-838-9326," ",James,Runner,617-838-9326,"Citizens Inn (05-229-SF-286)",2018/07/24,2018/08/02,"T,W,TH","12:00 PM - 01:00 PM"," ",12:00:00," "," ",L
"PEABODY INSTITUTE LIBRARY (SF-286-002)",Open,"82 Main Street"," ",Peabody,MA,1960,978-531-0100," ",Cate,Merlin,978-531-0100,"Citizens Inn (05-229-SF-286)",2018/06/26,2018/08/30,"M,T,W,TH","12:00 PM - 04:00 PM"," ",12:00:00,15:00:00," ","L,A"
"SALISBURY ELEMENTARY SCHOOL (SF-275-001)",Closed,"100 Lafayette Rd."," ",Salisbury,MA,1952,978-463-5852," ",Jill,Doucette," ","Triton Regional School District (05-254-SF-275)",2018/07/09,2018/08/17,"M,T,W,TH,F","10:00 AM - 12:30 PM"," ",12:00:00,10:00:00," ","L,M"
"BOYS & GIRLS CLUB OF LOWER MERRIMACK VAL (SF-275-002)",Closed,"18 Maple Street"," ",Salisbury,MA,1952,978-462-7003," ",Randy,Dion,978-462-7003,"Triton Regional School District (05-254-SF-275)",2018/07/09,2018/08/17,"M,T,W,TH,F","08:55 AM - 04:15 PM",08:55:00," ",15:45:00," ","B,A"
"Salem State University UB (SF-120-001)",Camp,"352 Lafayette Street"," ",SALEM,MA,1970,978-542-6779," ",Mona,Savastano,978-542-6779,"Salem State College Upward Bound (05-258-SF-120)",2018/07/09,2018/07/26,"M,T,W,TH,F","07:00 AM - 06:00 PM",07:00:00,12:10:00," ",17:00:00,"B,L,S"
"ONPOINT (SF-153-027)",Open,"50 Leavitt St./Congress Street"," ",Salem,MA,1970,781-710-0865," ",Keith,Willa,978-594-1657,"Salem School Department (05-258-SF-159)",2018/07/10,2018/08/09,"T,W,TH,F","04:00 PM - 06:00 PM"," "," "," ",16:00:00,S
"RAINBOW TERRACE-BASKETBALL COURT (SF-159-001)",Open,"LORING AVENUE"," ",SALEM,MA,1970,978-740-1230," ",Leeann,Gibney,978-740-1116,"Salem School Department (05-258-SF-159)",2018/07/09,2018/08/09,"M,T,W,TH,F","11:00 PM - 11:30 PM"," ",23:00:00," "," ",L
"PEQUOT HIGHLANDS (SF-159-005)",Open,"12 FIRST ST"," ",SALEM,MA,1970,978-745-4884," ",Karen,Jones,978-745-4884,"Salem School Department (05-258-SF-159)",2018/07/09,2018/08/09,"M,T,W,TH,F","12:00 PM - 01:00 PM"," ",12:00:00," "," ",L
"YMCA (SF-159-006)",Closed,"85 Memorial Drive"," ",SALEM,MA,1970,978-740-9622,1506,Charity,Lazama,978-740-9622,"Salem School Department (05-258-SF-159)",2018/07/09,2018/08/09,"M,T,W,TH,F","11:00 AM - 11:45 PM"," ",11:00:00," "," ",L
"BOYS + GIRLS CLUB GREATER SALEM (SF-159-009)",Closed,"29 Highland Ave"," ",SALEM,MA,1970,978-740-1230," ",Doug,Bolen,987-744-0915,"Salem School Department (05-258-SF-159)",2018/07/09,2018/08/09,"M,T,W,TH,F","08:00 AM - 12:00 PM",08:00:00,11:00:00," "," ","B,L"
"SALEM HIGH SCHOOL (SF-159-016)",Open,"77 Willson St."," ",Salem,MA,1970,978-740-1230," ",Lee-Ann,Gibney,978-740-1230,"Salem School Department (05-258-SF-159)",2018/07/09,2018/08/10,"M,T,W,TH,F","08:00 AM - 12:45 PM",08:00:00,11:30:00," "," ","B,L"
"BENTLEY ACADEMY CHARTER SCHOOL (SF-159-034)",Open,"25 Memorial Drive"," ",Salem,MA,1970,978-740-1532," ",Leeann,Gibney,978-825-5532,"Salem School Department (05-258-SF-159)",2018/07/09,2018/08/09,"M,T,W,TH","08:30 AM - 12:30 PM",08:30:00,11:30:00," "," ","B,L"
"PARKS AND RECREATION/FOREST PARK ADVENTU (SF-159-045)",Closed,"10 Forest Street","End of West Street",Salem,MA,1970,978-744-1180," ",Deborah,Jeffers,978-740-1230,"Salem School Department (05-258-SF-159)",2018/07/09,2018/08/09,"M,T,W,TH,F","11:30 AM - 12:00 PM"," ",11:30:00," "," ",L
"BATES ELEMENTARY SCHOOL (SF-159-046)",Open,"53 Liberty Hill Drive"," ",Salem,MA,1970,978-740-0000," ",Deborah,Jeffers,978-740-1230,"Salem School Department (05-258-SF-159)",2018/07/09,2018/08/10,"M,T,W,TH,F","08:00 AM - 12:30 PM",08:00:00,11:00:00," "," ","B,L"
"CARLTON INNOVATION SCHOOL (SF-159-047)",Closed,"10 Skerry Street"," ",Salem,MA,1970,978-740-1280," ",Deborah,Jeffers,978-740-1230,"Salem School Department (05-258-SF-159)",2018/07/09,2018/08/10,"M,T,W,TH,F","08:00 AM - 12:30 PM",08:00:00,11:00:00," "," ","B,L"
"FKO REVERE (YOUTH IN MOTION) (SF-283-001)",Closed,"85 BROADWAY"," ",REVERE,MA,2151,781-289-6655," ",Brendan,McEvoy,781-289-6655,"For Kids Only Afterschool (05-258-SF-283)",2018/07/02,2018/08/24,"M,T,W,TH,F","07:30 AM - 12:30 PM",07:30:00,11:30:00," "," ","B,L"
"FKO @ WELCH SCHOOL (SF-283-002)",Closed,"50 SWAMPSCOTT AVE"," ",Peabody,MA,1960,978-778-8573," ",Nicole,Joy,978-778-8573,"For Kids Only Afterschool (05-258-SF-283)",2018/07/02,2018/08/29,"M,T,W,TH,F","07:30 AM - 12:15 PM",07:30:00,11:15:00," "," ","B,L"
"FKO @CARROLL SCHOOL (SF-283-003)",Closed,"60 NORTH END ST"," ",PEABODY,MA,1970,978-998-2855," ",ANTHONY,PITTERSON,978-998-2875,"For Kids Only Afterschool (05-258-SF-283)",2018/07/02,2018/08/29,"M,T,W,TH,F","07:30 AM - 12:15 PM",07:30:00,11:15:00," "," ","B,L"
"FKO @ ADAMS SCHOOL (SF-283-004)",Closed,"70 TILESTON ST"," ",EVERETT,MA,2149,857-201-1078," ",Krystal,Woods,857-363-0722,"For Kids Only Afterschool (05-258-SF-283)",2018/07/05,2018/08/24,"M,T,W,TH,F","08:30 AM - 12:30 PM",08:30:00,11:30:00," "," ","B,L"
"FKO @ Webster Extension (EVERETT HIGH SC (SF-283-005)",Closed,"100 ELM STREET"," ",EVERETT,MA,2149,857-201-1082," ",AMATA,MATARAZZO,857-201-1082,"For Kids Only Afterschool (05-258-SF-283)",2018/07/05,2018/08/24,"M,T,W,TH,F","07:30 AM - 01:00 PM",07:30:00,12:00:00," "," ","B,L"
"GREENFIELD SWIMMING POOL (SF-25-002)",Open,"NASHES MILL"," ",GREENFIELD,MA,1301,413-772-0938," ",Christy,Moore,4137721553,"Greenfield Public Schools (06-114-SF-25)",2018/06/25,2018/08/17,"M,T,W,TH,F","08:00 AM - 12:30 PM",08:00:00,11:30:00," "," ","B,L"
"GREENFIELD GARDENS HOUSING (SF-25-004)",Open,"2 PRAY DRIVE"," ",GREENFIELD,MA,1301,413-772-8710," ",Andrea,Goldman,413-772-8710,"Greenfield Public Schools (06-114-SF-25)",2018/06/25,2018/08/17,"M,T,W,TH,F","09:00 AM - 12:30 PM",09:00:00,11:30:00," "," ","B,L"
"LEYDEN WOODS APARTMENTS (SF-25-005)",Open,"24 ASTER COURT"," ",GREENFIELD,MA,1301,413-774-4708," ",Diane,Sargent,774-4708,"Greenfield Public Schools (06-114-SF-25)",2018/06/25,2018/08/17,"M,T,W,TH,F","09:00 AM - 12:30 PM",09:00:00,11:30:00," "," ","B,L"
"OAK COURTS (SF-25-007)",Open,"1 Elm Terrace"," ",Greenfield,MA,1301,413774-2932,206,Bekki,Craig,413-475-3621,"Greenfield Public Schools (06-114-SF-25)",2018/06/25,2018/08/17,"M,T,W,TH,F","09:00 AM - 12:30 PM",09:00:00,11:30:00," "," ","B,L"
"NORTH PARISH SCHOOL (SF-25-012)",Open,"ONE PLACE TERRACE"," ",GREENFIELD,MA,1301,413-772-1390," ",Rosemary,Hawkins,772-1390,"Greenfield Public Schools (06-114-SF-25)",2018/07/09,2018/08/16,"M,T,W,TH","08:00 AM - 12:30 PM",08:00:00,11:30:00," "," ","B,L"
"CAMP APEX YMCA (SF-25-016)",Open,"Peckville RD"," ",Shelburne,MA,1370,413-625-2493," ",Dave,Garappolo,413-773-3646,"Greenfield Public Schools (06-114-SF-25)",2018/06/25,2018/08/17,"M,T,W,TH,F","08:00 AM - 12:30 PM",08:00:00,11:30:00," "," ","B,L"
"CAMP KEEWANEE (SF-25-017)",Open,"1 Health Camp Drive","P.O. Box 281",Greenfield,MA,1302,413-522-8708," ",Ron,Wood," ","Greenfield Public Schools (06-114-SF-25)",2018/07/02,2018/08/10,"M,T,W,TH,F","08:00 AM - 12:30 PM",08:00:00,11:30:00," "," ","B,L"
"GREENFIELD YMCA/CAMP ALLEN (SF-25-11)",Open,"451 MAIN STREET"," ",GREENFIELD,MA,1301,413-773-3646," ",Kara,Younger,413-773-3646,"Greenfield Public Schools (06-114-SF-25)",2018/06/25,2018/08/17,"M,T,W,TH,F","08:00 AM - 12:30 PM",08:00:00,11:30:00," "," ","B,L"
